Site Details - TEST CHANGE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Platform,Machine Name,Web Server MaxHeapSize,App Server MaxHeapSize,SOC MaxHeapSize,Certificate Alias,Cluster Name,Configured State,CPU Type,Memory (MB),Physical Processors,Logical Processors,OS,Server Start Time (local time),,,,,,
Windows Server 2019-amd64-10.0,MERIDIANA.DMZ,-1,0,128,SelfSignedCertificate,default,STARTED,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,40 959,16,16,Windows Server 2019-amd64-10.0,2023-11-10T14:06:58,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Service Name,Service Type,Service Capabilities,Provider,Instance Type,Min Instances (Node),Max Instances (Node),Configured State,Is Cached,"Is Schema Locked ",Cluster,Min Instances (Cluster),Max Instances (Cluster),Max Startup Time,Max Idle Time,Max Record Count,Service Requests,Extension Name,Is Enabled,Extension Capabilities
base/base.MapServer,MapServer,Map,ArcObjects,Dedicated,0,1,STARTED,false,false,default,0,1,300,1 800,100,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
,,,,,,,,,,,,,,,,,WMSServer,false,"GetCapabilities,GetLegendGraphic,GetSchemaExtension,GetFeatureInfo,GetMap,GetStyles"
,,,,,,,,,,,,,,,,,KmlServer,false,"SingleImage,SeparateImages,Vectors"
,,,,,,,,,,,,,,,,,FeatureServer,false,"Create,Query,Update,Delete,Uploads,Editing"
biotics/bc_20.MapServer,MapServer,"Data,Map,Query",ArcObjects,Dedicated,0,2,STARTED,false,true,default,0,2,300,1 800,1000,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
,,,,,,,,,,,,,,,,,WMSServer,false,"GetCapabilities,GetMap,GetFeatureInfo,GetStyles,GetLegendGraphic,GetSchemaExtension"
,,,,,,,,,,,,,,,,,KmlServer,false,"SingleImage,SeparateImages,Vectors"
,,,,,,,,,,,,,,,,,FeatureServer,false,"Query,Create,Update,Delete,Uploads,Editing"
biotics/bc_administrative.MapServer,MapServer,"Data,Map,Query",ArcObjects,Dedicated,0,2,STARTED,false,true,default,0,2,300,1 800,1000,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
,,,,,,,,,,,,,,,,,WMSServer,false,"GetCapabilities,GetMap,GetFeatureInfo,GetStyles,GetLegendGraphic,GetSchemaExtension"
,,,,,,,,,,,,,,,,,KmlServer,false,"SingleImage,SeparateImages,Vectors"
,,,,,,,,,,,,,,,,,FeatureServer,false,"Query,Create,Update,Delete,Uploads,Editing"
biotics/bc_grids.MapServer,MapServer,"Data,Map,Query",ArcObjects,Dedicated,0,2,STARTED,false,true,default,0,20,300,1 800,1000,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
,,,,,,,,,,,,,,,,,WMSServer,false,"GetCapabilities,GetMap,GetFeatureInfo,GetStyles,GetLegendGraphic,GetSchemaExtension"
,,,,,,,,,,,,,,,,,KmlServer,false,"SingleImage,SeparateImages,Vectors"
,,,,,,,,,,,,,,,,,FeatureServer,false,"Query,Create,Update,Delete,Uploads,Editing"
biotics/bc_habitat.MapServer,MapServer,"Data,Map,Query",ArcObjects,Dedicated,0,2,STARTED,false,true,default,0,2,300,1 800,1000,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
,,,,,,,,,,,,,,,,,WMSServer,false,"GetCapabilities,GetMap,GetFeatureInfo,GetStyles,GetLegendGraphic,GetSchemaExtension"
,,,,,,,,,,,,,,,,,KmlServer,false,"SingleImage,SeparateImages,Vectors"
,,,,,,,,,,,,,,,,,FeatureServer,false,"Query,Create,Update,Delete,Uploads,Editing"
biotics/bc_names.MapServer,MapServer,"Data,Map,Query",ArcObjects,Dedicated,0,2,STARTED,false,true,default,0,2,300,1 800,1000,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
,,,,,,,,,,,,,,,,,WMSServer,false,"GetCapabilities,GetMap,GetFeatureInfo,GetStyles,GetLegendGraphic,GetSchemaExtension"
,,,,,,,,,,,,,,,,,KmlServer,false,"SingleImage,SeparateImages,Vectors"
,,,,,,,,,,,,,,,,,FeatureServer,false,"Query,Create,Update,Delete,Uploads,Editing"
biotics/bc_parcelmaps_ownership.MapServer,MapServer,"Data,Map,Query",ArcObjects,Dedicated,0,2,STARTED,false,true,default,0,2,300,1 800,1000,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
,,,,,,,,,,,,,,,,,WMSServer,false,"GetCapabilities,GetMap,GetFeatureInfo,GetStyles,GetLegendGraphic,GetSchemaExtension"
,,,,,,,,,,,,,,,,,KmlServer,false,"SingleImage,SeparateImages,Vectors"
,,,,,,,,,,,,,,,,,FeatureServer,false,"Query,Create,Update,Delete,Uploads,Editing"
biotics/bc_protected_areas.MapServer,MapServer,"Data,Map,Query",ArcObjects,Dedicated,0,2,STARTED,false,true,default,0,2,300,1 800,1000,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
,,,,,,,,,,,,,,,,,WMSServer,false,"GetCapabilities,GetMap,GetFeatureInfo,GetStyles,GetLegendGraphic,GetSchemaExtension"
,,,,,,,,,,,,,,,,,KmlServer,false,"SingleImage,SeparateImages,Vectors"
,,,,,,,,,,,,,,,,,FeatureServer,false,"Query,Create,Update,Delete,Uploads,Editing"
fta/10000.MapServer,MapServer,"Map,Query,Data",ArcObjects,Dedicated,0,5,STARTED,false,true,default,0,5,300,600,1000,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
,,,,,,,,,,,,,,,,,WMSServer,false,"GetCapabilities,GetLegendGraphic,GetSchemaExtension,GetFeatureInfo,GetMap,GetStyles"
,,,,,,,,,,,,,,,,,KmlServer,false,"SingleImage,SeparateImages,Vectors"
,,,,,,,,,,,,,,,,,FeatureServer,false,"Create,Query,Update,Delete,Uploads,Editing"
fta/100000.MapServer,MapServer,"Map,Query,Data",ArcObjects,Dedicated,0,5,STARTED,false,true,default,0,5,300,600,1000,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
,,,,,,,,,,,,,,,,,WMSServer,false,"GetCapabilities,GetLegendGraphic,GetSchemaExtension,GetFeatureInfo,GetMap,GetStyles"
,,,,,,,,,,,,,,,,,KmlServer,false,"SingleImage,SeparateImages,Vectors"
,,,,,,,,,,,,,,,,,FeatureServer,false,"Create,Query,Update,Delete,Uploads,Editing"
fta/15000.MapServer,MapServer,"Map,Query,Data",ArcObjects,Dedicated,0,5,STARTED,false,true,default,0,5,300,600,1000,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
,,,,,,,,,,,,,,,,,WMSServer,false,"GetCapabilities,GetLegendGraphic,GetSchemaExtension,GetFeatureInfo,GetMap,GetStyles"
,,,,,,,,,,,,,,,,,KmlServer,false,"SingleImage,SeparateImages,Vectors"
,,,,,,,,,,,,,,,,,FeatureServer,false,"Create,Query,Update,Delete,Uploads,Editing"
fta/20000.MapServer,MapServer,"Map,Query,Data",ArcObjects,Dedicated,0,5,STARTED,false,true,default,0,5,300,600,1000,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
,,,,,,,,,,,,,,,,,WMSServer,false,"GetCapabilities,GetLegendGraphic,GetSchemaExtension,GetFeatureInfo,GetMap,GetStyles"
,,,,,,,,,,,,,,,,,KmlServer,false,"SingleImage,SeparateImages,Vectors"
,,,,,,,,,,,,,,,,,FeatureServer,false,"Create,Query,Update,Delete,Uploads,Editing"
fta/30000.MapServer,MapServer,"Map,Query,Data",ArcObjects,Dedicated,0,5,STARTED,false,true,default,0,5,300,600,1000,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
,,,,,,,,,,,,,,,,,WMSServer,false,"GetCapabilities,GetLegendGraphic,GetSchemaExtension,GetFeatureInfo,GetMap,GetStyles"
,,,,,,,,,,,,,,,,,KmlServer,false,"SingleImage,SeparateImages,Vectors"
,,,,,,,,,,,,,,,,,FeatureServer,false,"Create,Query,Update,Delete,Uploads,Editing"
fta/5000.MapServer,MapServer,"Map,Query,Data",ArcObjects,Dedicated,0,5,STARTED,false,true,default,0,5,300,600,1000,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
,,,,,,,,,,,,,,,,,WMSServer,false,"GetCapabilities,GetLegendGraphic,GetSchemaExtension,GetFeatureInfo,GetMap,GetStyles"
,,,,,,,,,,,,,,,,,KmlServer,false,"SingleImage,SeparateImages,Vectors"
,,,,,,,,,,,,,,,,,FeatureServer,false,"Create,Query,Update,Delete,Uploads,Editing"
fta/50000.MapServer,MapServer,"Map,Query,Data",ArcObjects,Dedicated,0,5,STARTED,false,true,default,0,5,300,600,1000,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
,,,,,,,,,,,,,,,,,WMSServer,false,"GetCapabilities,GetLegendGraphic,GetSchemaExtension,GetFeatureInfo,GetMap,GetStyles"
,,,,,,,,,,,,,,,,,KmlServer,false,"SingleImage,SeparateImages,Vectors"
,,,,,,,,,,,,,,,,,FeatureServer,false,"Create,Query,Update,Delete,Uploads,Editing"
fta/75000.MapServer,MapServer,"Map,Query,Data",ArcObjects,Dedicated,0,5,STARTED,false,true,default,0,5,300,600,1000,0,NAServer,false,n/a
,,,,,,,,,,,,,,,,,SchematicsServer,false,Query
,,,,,,,,,,,,,,,,,WCSServer,false,n/a
,,,,,,,,,,,,,,,,,WFSServer,false,n/a
